JD,Bandpass,Magnitude,Magnitude_err,flux,fluxerr,zeropoint,magsys
2455800.6772431647,bessellb,13.172561967528107,0.040173195436640385,5.382390620743546,0.21622783032347065,15,vega
2455800.6787821376,bessellb,13.205574203178042,0.04058079275691448,5.221199872425115,0.2118804299653119,15,vega
2455800.68032111,bessellb,13.208171696711435,0.03941564920465012,5.208723708318907,0.20530522649104233,15,vega
2455800.681872082,bessellb,13.127688437519584,0.042588038219929236,5.609506104711305,0.23889786038237143,15,vega
2455800.6834120546,bessellb,13.164953947932334,0.04127010266737369,5.420238801397657,0.2236938118153638,15,vega
2455800.6849510274,bessellb,13.22726207514338,0.03824510052961517,5.117939761936819,0.19573612069978838,15,vega
2455800.686502,bessellb,13.194531345783652,0.03729003831506099,5.274574874627133,0.19668909917050378,15,vega
2455800.688040972,bessellb,13.19629423756907,0.03865931688676749,5.266017584331599,0.20358064252396513,15,vega
2455800.6895919447,bessellb,13.14088543221942,0.04135109179426292,5.541735927414976,0.22915683103410142,15,vega
2455800.691130917,bessellb,13.322393892657509,0.03624009196016102,4.6885920080056485,0.16991500553380073,15,vega
2455805.610559111,bessellb,10.93103894696167,0.03945788229135424,42.421343748730415,1.6738563882784807,15,vega
2455805.61209809,bessellb,10.969980750321259,0.03810959081267518,40.9267915825944,1.5597032804883115,15,vega
2455805.613661068,bessellb,10.98352806233493,0.037774392956875895,40.41929880247371,1.5268144760060254,15,vega
2455805.63452878,bessellb,11.000150545122043,0.038893972655971186,39.80519739620694,1.5481822590936083,15,vega
2455805.636067759,bessellb,11.02893385634571,0.03818684381564898,38.76381011099455,1.4802675624080235,15,vega
2455805.637629737,bessellb,10.956856646626026,0.04087113487705123,41.42450631694674,1.6930665848951907,15,vega
2455805.6584634488,bessellb,10.981661839831517,0.04510335186233897,40.488833436787814,1.826182100995076,15,vega
2455805.6600144277,bessellb,11.028373521997311,0.04363850952264011,38.78382077291514,1.6924681321232247,15,vega
2455805.6615534066,bessellb,11.048330677359104,0.04302335704117627,38.077438824524414,1.6382192457610611,15,vega
2455805.6866920595,bessellb,11.025060994287216,0.05746854937469031,38.902328990214535,2.23566041436459,15,vega
2455805.688243038,bessellb,11.093573738180986,0.05529827420800951,36.52334155797894,2.0196777564659083,15,vega
2455805.6897820174,bessellb,11.100628587267245,0.057044324207446206,36.28679114699421,2.0699554786370267,15,vega
2455805.6999668772,bessellb,11.099227862255649,0.059904451947706605,36.3336355063384,2.1765465222749354,15,vega
2455805.7015068564,bessellb,10.893302141009727,0.07337435209341174,43.921700238271335,3.2227262978242073,15,vega
2455805.7030688343,bessellb,10.957198684191708,0.07600332189394982,41.41145848295511,3.147408409177976,15,vega
2455810.6332110204,bessellb,10.161350037835504,0.03638026515756746,86.19061605204948,3.1356374660676503,15,vega
2455810.6347620054,bessellb,10.17618157477888,0.035088713812270016,85.02122735409498,2.9832855145957815,15,vega
2455810.63631299,bessellb,10.187544694915783,0.035290495610616444,84.13605058738132,2.9692029239485835,15,vega
2455811.589742288,bessellb,10.189408955375658,0.06111654076554043,83.99170896187658,5.1332827047359375,15,vega
2455811.59059828,bessellb,10.179693984730317,0.06192672159934832,84.7466239248236,5.248080586277222,15,vega
2455811.591455273,bessellb,10.231476948757226,0.060129526464685015,80.79960180476334,4.858441795055528,15,vega
2455811.593226257,bessellb,10.065960639749425,0.0680174842898276,94.1056598214981,6.400830238492606,15,vega
2455811.5940822493,bessellb,10.034547856300865,0.07175633379974806,96.86811696086971,6.950900935197204,15,vega
2455811.5976702175,bessellb,10.275734587932462,0.057094924881558026,77.57221006026788,4.428979506287434,15,vega
2455811.618156036,bessellb,10.125271077120587,0.06678217820619406,89.10284461697901,5.950482047889912,15,vega
2455811.6190240276,bessellb,10.138036026783702,0.06745348927304562,88.06140074925769,5.940048750809424,15,vega
2455811.6198810204,bessellb,10.10152519581652,0.06916869106775964,91.07305849416281,6.2994042475787495,15,vega
2455811.620726013,bessellb,10.047341420824242,0.0722848551056518,95.73338862257634,6.920074125355986,15,vega
2455811.621594005,bessellb,10.18508181189447,0.06371677040612625,84.32712135861081,5.37305183061615,15,vega
2455811.6224499973,bessellb,10.16457418222439,0.06492630082920808,85.93504863809062,5.5794448196493,15,vega
2455812.606782273,bessellb,10.005268848914273,0.06763951166640468,99.515896657079,6.731206652929218,15,vega
2455812.607639266,bessellb,10.025629564755645,0.06621864443790967,97.6670733652477,6.4673812044645755,15,vega
2455812.60848426,bessellb,10.09486053187064,0.062811767234087,91.63381906876076,5.755682114117444,15,vega
2455812.609340253,bessellb,10.104293924933424,0.06186644237256176,90.84110952781825,5.620016267662338,15,vega
2455812.6101972456,bessellb,10.049914861657168,0.06542294621554608,95.50674749988453,6.248332804906685,15,vega
2455812.611042239,bessellb,10.055410114648561,0.06442605449411258,95.02457899423159,6.12205870456247,15,vega
2455812.6330320616,bessellb,10.166711891882514,0.06228545979622858,85.76601729016167,5.34197582180901,15,vega
2455812.633889055,bessellb,10.144017790775411,0.06449570463335913,87.57756858074887,5.6483769956917325,15,vega
2455812.634734048,bessellb,10.10045006407309,0.06590022613071622,91.1632867018335,6.007681208470142,15,vega
2455812.635590041,bessellb,10.139766436590454,0.06469370159970121,87.92116323634059,5.687945498710438,15,vega
2455812.636435034,bessellb,10.104584175843616,0.06594578134518182,90.81682813183815,5.988986690445156,15,vega
2455812.6373030273,bessellb,10.026875362069905,0.07022522552871684,97.55507231148397,6.850826954544241,15,vega
2455813.666601814,bessellb,9.910315354659936,0.09398675845946208,108.61101145361839,10.207996899529101,15,vega
